(*)Commodity Code,(*)Commodity Name,Commodity Barcode,Sku Code,Sku Name,Tags,Description,Commodity Type,Unit,(*)Commodity Group,Sub group,Profit rate(%),Purchase Price,(*)Sale price,Tax1,Tax2,Origin,Style,Model,Size,Color,Warranty ( month ),Minimum inventory
93,Detan Midriff,,,,,,,,Services,,,,900,GST 5%,,,,,,,,
94,Detan Full Back,,,,,,,,Services,,,,1250,GST 5%,,,,,,,,
95,Eyebrow/Upper Lip/Chin/ For Head Threading,,,,,,,,Services,,,,67,GST 5%,,,,,,,,
96,Threading Sides,,,,,,,,Services,,,,150,GST 5%,,,,,,,,
97,Neck Threading,,,,,,,,Services,,,,219,GST 5%,,,,,,,,
98,Full Face Threading,,,,,,,,Services,,,,552,GST 5%,,,,,,,,
99,Upper Lip/ Chin Waxing,,,,,,,,Services,,,,114,GST 5%,,,,,,,,
100,Sides / Neck waxing,,,,,,,,Services,,,,219,GST 5%,,,,,,,,
101,Make Up Booking Advance ,,,,,,,,Services,,,,2000,GST 5%,,,,,,,,
102,Outdoor Charges ,,,,,,,,Services,,,,2000,GST 5%,,,,,,,,
103,Premium Bridal Package,,,,,,,,Services,,,,11500,GST 5%,,,,,,,,
104,Luxury Bridal Package,,,,,,,,Services,,,,16170,GST 5%,,,,,,,,
105,Groom Make Up Elegant,,,,,,,,Services,,,,7000,GST 5%,,,,,,,,
106,Groom Make Up HD,,,,,,,,Services,,,,10000,GST 5%,,,,,,,,
107,Groom Make Up Air Brush,,,,,,,,Services,,,,18000,GST 5%,,,,,,,,
108,Bridal Make Up Elegant,,,,,,,,Services,,,,20000,GST 5%,,,,,,,,
109,Bridal Make Up HD,,,,,,,,Services,,,,25000,GST 5%,,,,,,,,
110,Bridal Make Up Air Brush,,,,,,,,Services,,,,30000,GST 5%,,,,,,,,
111,Pary Make Up Men,,,,,,,,Services,,,,5000,GST 5%,,,,,,,,
112,Pary Make Up Women ,,,,,,,,Services,,,,7000,GST 5%,,,,,,,,
113,Trial Make Up,,,,,,,,Services,,,,3000,GST 5%,,,,,,,,
114,Kids Make Up,,,,,,,,Services,,,,4000,GST 5%,,,,,,,,
115,Saree Draping,,,,,,,,Services,,,,2000,GST 5%,,,,,,,,
